,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
16213,,"8,30","79,80","Jardim Montevidéo (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,858","0,875","0,913","0,790","10,32","1849,80"
16214,,"23,70","69,06","Jardim Panorama (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16215,,"17,70","72,52","Jardim Real / Parque Sta Rosa / Parque Alvorada (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,690","0,665","0,792","0,625","9,30","502,49"
16216,,"17,00","72,95","Jardim Tropical (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,679","0,671","0,799","0,583","8,85","521,92"
16217,,"13,20","75,66","Jardim Tropical / Engenho Pequeno / Andrade Araujo / Prata (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,755","0,717","0,844","0,711","10,27","691,00"
16218,,"10,90","77,48","Jardim Tropical / Vila Sueli / Diana (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,797","0,767","0,875","0,753","10,31","945,09"
16219,,"12,60","76,09","Juriti / Maranhão / Guarani (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,773","0,734","0,852","0,738","10,21","771,59"
16220,,"12,50","76,20","K-11 / Condomínio Pedro I / Praça Jardim 5 (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16221,,"9,50","78,72","K-11 / Rua Irmãos Mauricio (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16222,,"13,20","75,66","KM 32 / Valverde (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,755","0,717","0,844","0,711","10,27","691,00"
16223,,"21,80","70,08","KM 37 / KM 39 / Lagoinha (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,656","0,634","0,751","0,592","9,54","412,85"
16224,,"18,60","71,94","Lagoinha / Jardim Europa / Marapicú (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,671","0,660","0,782","0,586","9,01","486,07"
16225,,"23,20","69,34","Lisboa / Prata / Vila Santos Neto (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,606","0,617","0,739","0,488","8,16","373,13"
16226,,"16,60","73,22","Marambaia (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,709","0,674","0,804","0,658","9,24","530,22"
16227,,"20,30","70,94","Marapicú / Rua São Jorge / RJ 105 (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,660","0,636","0,766","0,590","9,48","417,85"
16228,,"16,60","73,22","Marco II / UNIG (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,709","0,674","0,804","0,658","9,24","530,22"
16229,,"9,50","78,72","Margens Rio da Bota (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,834","0,796","0,895","0,814","11,39","1136,74"
16230,,"23,60","69,13","Maria José / Residencial Agora Nova Iguaçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16231,,"12,50","76,20","Miguel Couto / Argentas (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16232,,"12,90","75,86","Miguel Couto / Figueiras (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,761","0,733","0,848","0,708","10,38","766,99"
16233,,"12,90","75,86","Moquetá / SESC (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,761","0,733","0,848","0,708","10,38","766,99"
16234,,"12,50","76,20","Morro Agudo / Cacuia (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,791","0,739","0,853","0,785","10,41","794,82"
16235,,"18,60","71,99","Morro Central / Morro da Caixa Dágua (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,689","0,661","0,783","0,632","10,24","490,49"
16236,,"20,50","70,82","Morro do Vulcão / Cabuçu (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,680","0,648","0,764","0,636","9,90","450,46"
16237,,"22,00","69,97","Nova Aurora / Grama (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16238,,"19,90","71,20","Nova Era / Recreio Itapoã / Pedreira Santo Antonio (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
16239,,"16,50","73,32","Novo Jardim Paraíso / Marapicú (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,710","0,678","0,805","0,657","9,61","543,59"
16240,,"20,50","70,82","Ouro Verde / Nossa Senhora das Graças (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,680","0,648","0,764","0,636","9,90","450,46"
16241,,"12,60","76,09","Palhada / Riachão / Vila São Domingos (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,773","0,734","0,852","0,738","10,21","771,59"
16242,,"22,00","69,97","Paraíso / Bom Jesus / KM 34 / Jardim Guandú (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16243,,"20,90","70,62","Parque Antártica (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,666","0,646","0,760","0,602","9,01","446,24"
16244,,"23,60","69,13","Parque das Palmeiras / Riachão (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,616","0,611","0,736","0,520","8,36","357,45"
16245,,"22,00","69,97","Parque do Laranjal (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,658","0,631","0,750","0,602","9,50","405,62"
16246,,"23,70","69,06","Parque Flora / Ambaí (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16247,,"23,30","69,29","Parque Flora / Jardim Santa Fé (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,625","0,615","0,738","0,537","8,90","367,88"
16248,,"19,90","71,20","Parque Horizonte (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,678","0,651","0,770","0,623","9,14","460,36"
16249,,"10,90","77,48","Parque Princesa Isabel / Jardim Natal (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,797","0,767","0,875","0,753","10,31","945,09"
16250,,"23,70","69,06","Parque São Francisco de Pádua / Km 32 (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,620","0,608","0,734","0,534","8,99","352,55"
16251,,"16,60","73,22","Parque São Francisco de Paula / Prados Verdes (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,709","0,674","0,804","0,658","9,24","530,22"
16252,,"21,80","70,08","Parue Três Corações / Ponto Chique (Nova Iguaçu , RM do Rio de Janeiro)",,2010,"0,656","0,634","0,751","0,592","9,54","412,85"
