,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
246,,82.82,57.28,Boa Nova (BA),,1991,0.277,0.418,0.538,0.095,3.69,107.92
247,,64.14,60.91,Boa Vista do Tupim (BA),,1991,0.232,0.385,0.599,0.054,3.28,87.73
248,,70.34,59.64,Bom Jesus da Lapa (BA),,1991,0.230,0.365,0.577,0.058,5.38,77.42
249,,73.21,59.08,Bom Jesus da Serra (BA),,1991,0.372,0.492,0.568,0.184,6.59,171.18
250,,75.20,58.70,Boninal (BA),,1991,0.187,0.401,0.562,0.029,2.55,97.03
251,,51.73,63.69,Bonito (BA),,1991,0.299,0.418,0.645,0.099,5.94,108.12
252,,93.24,55.47,Boquira (BA),,1991,0.250,0.447,0.508,0.069,4.57,128.91
253,,56.78,62.51,Botuporã (BA),,1991,0.304,0.405,0.625,0.111,5.60,99.29
254,,63.78,61.90,Brejões (BA),,1991,0.257,0.355,0.615,0.078,6.22,72.76
255,,54.96,62.93,Brejolândia (BA),,1991,0.299,0.435,0.632,0.097,6.16,119.96
256,,54.96,62.93,Brotas de Macaúbas (BA),,1991,0.271,0.405,0.632,0.078,5.98,99.56
257,,70.75,59.56,Brumado (BA),,1991,0.274,0.401,0.576,0.089,5.28,96.93
258,,66.45,60.43,Buerarema (BA),,1991,0.387,0.570,0.591,0.172,5.74,277.65
259,,76.64,58.42,Buritirama (BA),,1991,0.309,0.447,0.557,0.119,5.42,129.31
260,,67.49,60.21,Caatiba (BA),,1991,0.193,0.349,0.587,0.035,4.40,70.26
261,,64.14,60.91,Cabaceiras do Paraguaçu (BA),,1991,0.262,0.463,0.599,0.065,3.75,142.55
262,,80.89,57.63,Cachoeira (BA),,1991,0.240,0.354,0.544,0.072,3.56,72.51
263,,68.08,60.10,Caculé (BA),,1991,0.399,0.481,0.585,0.226,7.17,159.84
264,,52.47,63.51,Caém (BA),,1991,0.356,0.443,0.642,0.159,7.52,126.19
265,,84.04,57.06,Caetanos (BA),,1991,0.272,0.376,0.534,0.100,5.59,83.12
266,,65.20,60.69,Caetité (BA),,1991,0.180,0.378,0.595,0.026,1.48,84.29
267,,54.98,62.92,Cafarnaum (BA),,1991,0.331,0.451,0.632,0.127,6.21,132.22
268,,108.33,53.06,Cairu (BA),,1991,0.257,0.423,0.468,0.086,4.58,110.93
269,,54.54,63.03,Caldeirão Grande (BA),,1991,0.259,0.447,0.634,0.061,3.13,128.83
270,,94.67,55.23,Camacan (BA),,1991,0.273,0.417,0.504,0.097,4.61,106.89
271,,80.22,57.76,Camaçari (BA),,1991,0.316,0.496,0.546,0.117,4.82,174.87
272,,67.67,60.18,Camamu (BA),,1991,0.422,0.559,0.586,0.230,6.53,258.98
273,,54.54,63.03,Campo Alegre de Lourdes (BA),,1991,0.270,0.420,0.634,0.074,4.14,109.38
274,,82.17,57.40,Campo Formoso (BA),,1991,0.273,0.496,0.540,0.076,4.18,174.75
275,,91.84,55.71,Canápolis (BA),,1991,0.261,0.414,0.512,0.084,4.06,105.25
276,,64.03,60.93,Canarana (BA),,1991,0.285,0.378,0.599,0.102,4.44,84.07
