Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"RA-4 (Maceió . RM Maceió)";"Regional Divisions";--;64.07;71.11;51.80;26.00;0.497;0.665;0.583;0.657;0.651;0.769;0.323;0.582;7.13;9.63;301.96;478.54
"RA-5 (Maceió . RM Maceió)";"Regional Divisions";--;65.41;72.75;46.90;21.40;0.550;0.700;0.628;0.705;0.674;0.796;0.392;0.610;7.49;9.60;397.47;642.80
"RA-6 (Maceió . RM Maceió)";"Regional Divisions";--;63.69;70.55;53.20;27.88;0.500;0.647;0.562;0.641;0.645;0.759;0.344;0.556;6.93;8.91;263.51;431.56
"RA-7 (Maceió . RM Maceió)";"Regional Divisions";--;64.71;71.34;49.40;25.30;0.531;0.675;0.589;0.646;0.662;0.772;0.383;0.617;7.63;9.72;313.25;445.70
"RA-8 (Maceió . RM Maceió)";"Regional Divisions";--;67.70;73.36;39.30;19.80;0.602;0.701;0.733;0.740;0.712;0.806;0.419;0.577;7.66;9.45;767.41;797.73
"ZONA CENTRO-OESTE (Manaus . RM Manaus)";"Regional Divisions";--;69.79;75.76;31.30;14.27;0.641;0.766;0.691;0.745;0.747;0.846;0.511;0.714;9.04;10.27;589.19;826.42
"ZONA CENTRO-SUL (Manaus . RM Manaus)";"Regional Divisions";--;75.45;78.51;18.00;10.44;0.759;0.850;0.825;0.896;0.841;0.892;0.630;0.768;9.53;10.82;1355.19;2114.37
"ZONA LESTE ( Jorge Teixeira. Tancredo Neves. São José Operário. Gilberto Mestrinho. Zumbi dos Palmares. Armando Mendes) (Manaus . RM Manaus)";"Regional Divisions";--;66.63;71.67;40.70;20.90;0.494;0.659;0.562;0.624;0.694;0.778;0.310;0.590;7.38;9.12;264.41;388.42
"ZONA NORTE (Manaus . RM Manaus)";"Regional Divisions";--;67.14;73.04;39.10;18.50;0.555;0.702;0.608;0.674;0.702;0.801;0.401;0.640;7.92;9.75;351.01;531.65
"ZONA OESTE (Ponta Negra. Tarumã. Tarumã-Açu) (Manaus . RM Manaus)";"Regional Divisions";--;72.80;79.26;23.70;9.50;0.583;0.770;0.753;0.924;0.797;0.904;0.330;0.547;7.06;8.40;867.62;2510.57
"ZONA OESTE (Santo Agostinho. Compensa. São Jorge. Vila da Prata. Santo Antônio. São Raimundo. Glória) (Manaus . RM Manaus)";"Regional Divisions";--;68.68;74.66;34.40;15.90;0.603;0.735;0.657;0.721;0.728;0.828;0.459;0.666;8.57;10.21;476.61;708.98
"ZONA SUL (Presidente Vargas. Nossa Senhora Aparecida. Centro. Praça 14 de Janeiro. Cachoeirinha) (Manaus . RM Manaus)";"Regional Divisions";--;72.39;77.23;24.70;12.22;0.687;0.806;0.751;0.796;0.790;0.871;0.546;0.754;8.97;10.39;857.75;1133.62
"ZONA SUL / ZONA LESTE ( Educandos. Santa Luzia. Colônia Oliveira Machado. Morro da Liberdade. São Lázaro. Betânia. Crespo. Vila Buriti. Distrito Industrial I / Mauazinho. Colônia Antônio Aleixo. Distrito Industrial II. Puraquequara ) (Manaus . RM Manaus)";"Regional Divisions";--;67.19;72.65;38.90;18.53;0.555;0.690;0.608;0.666;0.703;0.794;0.399;0.622;7.98;9.38;351.06;503.26
"ZONA SUL / ZONA LESTE( Raiz. Japiim. São Francisco. Petrópolis / Coroado) (Manaus . RM Manaus)";"Regional Divisions";--;69.21;75.06;32.90;15.25;0.620;0.762;0.675;0.730;0.737;0.834;0.480;0.728;8.88;10.39;534.14;753.03
"R.A. LESTE (Natal . RM Natal)";"Regional Divisions";--;72.45;77.26;30.40;12.07;0.719;0.817;0.783;0.857;0.791;0.871;0.599;0.730;10.23;10.46;1042.67;1653.82
"R.A. NORTE (Natal . RM Natal)";"Regional Divisions";--;67.65;72.02;45.62;20.97;0.579;0.696;0.587;0.658;0.711;0.784;0.465;0.654;9.24;10.09;308.11;481.03
"R.A. OESTE (Natal . RM Natal)";"Regional Divisions";--;68.15;72.24;44.30;20.44;0.574;0.687;0.598;0.668;0.719;0.787;0.441;0.616;8.95;9.80;331.48;512.40
"R.A. SUL (Natal . RM Natal)";"Regional Divisions";--;74.86;79.30;23.80;9.55;0.807;0.876;0.832;0.879;0.831;0.905;0.760;0.846;11.09;11.24;1413.42;1905.16
"Expansão Sul (Nova Lima . RM Belo Horizonte)";"Regional Divisions";--;76.41;80.86;15.20;7.70;0.736;0.883;0.856;0.991;0.857;0.931;0.543;0.746;9.63;10.54;1646.46;3820.20
"Sede (Nova Lima . RM Belo Horizonte)";"Regional Divisions";--;73.63;76.88;20.40;12.60;0.674;0.759;0.693;0.738;0.811;0.865;0.544;0.684;9.53;9.69;596.65;789.21
"Centro (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;77.88;80.72;9.90;6.30;0.893;0.935;0.950;0.984;0.881;0.929;0.850;0.894;12.29;11.58;2945.58;3646.91
"Centro Sul (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.98;77.06;15.50;10.20;0.742;0.797;0.784;0.817;0.816;0.868;0.638;0.713;11.06;10.59;1049.03;1294.89
"Cristal (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;74.95;78.22;14.00;8.80;0.762;0.809;0.827;0.858;0.833;0.887;0.642;0.695;10.68;9.51;1377.45;1665.45
"Cruzeiro (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.44;76.07;16.30;11.40;0.671;0.747;0.764;0.797;0.807;0.851;0.490;0.614;9.09;8.82;928.95;1139.73
"Eixo Baltazar (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.23;75.95;16.70;11.50;0.716;0.779;0.754;0.785;0.804;0.849;0.605;0.709;10.69;10.13;871.29;1057.42
"Extremo Sul (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;72.32;75.10;18.30;12.60;0.629;0.714;0.702;0.756;0.789;0.835;0.449;0.576;9.48;9.96;630.36;881.30
"Glória (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;72.36;75.48;18.20;12.10;0.662;0.733;0.728;0.775;0.789;0.841;0.504;0.605;9.59;10.01;740.77;994.49
