Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"Formosa / Maria Regina / Industrial (Alvorada , RM Porto Alegre)";HDU;--;67,75;70,78;27,70;19,30;0,482;0,600;0,587;0,625;0,713;0,763;0,268;0,454;7,52;8,28;308,48;391,41
"Intersul (Alvorada , RM Porto Alegre)";HDU;--;67,75;71,87;27,70;17,40;0,482;0,665;0,587;0,651;0,713;0,781;0,268;0,579;7,52;9,20;308,48;458,92
"Intersul / Algarve (Alvorada , RM Porto Alegre)";HDU;--;73,72;75,22;15,90;12,40;0,624;0,720;0,657;0,719;0,812;0,837;0,455;0,620;9,89;9,92;477,99;703,41
"Intersul / Aparecida (Alvorada , RM Porto Alegre)";HDU;--;73,20;74,93;16,80;12,80;0,578;0,707;0,652;0,718;0,803;0,832;0,368;0,592;9,83;10,19;463,64;695,90
"Piratini / Formosa / Maria Regina / Umbu (Alvorada , RM Porto Alegre)";HDU;--;67,88;71,45;27,40;18,10;0,503;0,619;0,591;0,636;0,715;0,774;0,301;0,481;8,47;8,39;315,60;419,03
"Umbu A (Alvorada , RM Porto Alegre)";HDU;--;67,88;71,87;27,40;17,40;0,503;0,665;0,591;0,651;0,715;0,781;0,301;0,579;8,47;9,20;315,60;458,92
"Umbu B (Alvorada , RM Porto Alegre)";HDU;--;68,90;72,59;25,10;16,20;0,542;0,668;0,616;0,672;0,732;0,793;0,353;0,559;8,53;9,77;370,48;525,29
"Colina / Werner Plass / Boa Vista (Americana , RM Campinas)";HDU;--;76,76;80,23;11,04;7,90;0,827;0,883;0,862;0,891;0,863;0,921;0,761;0,840;11,64;12,39;1710,95;2045,66
"Cordenounsi / São Manuel / São Vito (Americana , RM Campinas)";HDU;--;74,37;78,71;15,60;9,60;0,747;0,836;0,762;0,809;0,823;0,895;0,666;0,806;11,52;11,51;915,24;1232,16
"Jardim Alvorada / Machadinho / Distrito Industrial (Americana , RM Campinas)";HDU;--;73,06;77,57;17,80;11,10;0,681;0,792;0,719;0,758;0,801;0,876;0,548;0,747;9,90;10,45;702,69;895,78
