Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Penedo (AL)";Municipality;270670;58.54;65.37;71.42;70.48;42.32;25.10;0.411;0.495;0.630;0.516;0.557;0.602;0.559;0.673;0.774;0.240;0.323;0.536;7.46;7.36;9.45;198.63;255.31;339.15
"Piaçabuçu (AL)";Municipality;270680;58.54;64.50;68.59;70.48;45.52;34.20;0.316;0.417;0.572;0.475;0.486;0.538;0.559;0.658;0.727;0.119;0.226;0.479;5.51;6.36;9.20;153.88;164.28;227.65
"Pilar (AL)";Municipality;270690;54.96;63.06;71.26;89.32;51.11;25.60;0.325;0.418;0.610;0.474;0.505;0.578;0.499;0.634;0.771;0.145;0.228;0.509;6.46;5.88;8.30;153.23;185.83;292.06
"Pindoba (AL)";Municipality;270700;55.34;63.86;67.16;87.16;47.98;39.40;0.252;0.355;0.574;0.451;0.441;0.579;0.506;0.648;0.703;0.070;0.156;0.465;5.66;4.05;10.18;132.07;124.19;292.88
"Piranhas (AL)";Municipality;270710;57.19;65.03;72.14;77.28;43.69;23.00;0.398;0.432;0.589;0.553;0.558;0.563;0.537;0.667;0.786;0.213;0.217;0.462;6.99;5.92;8.65;250.37;257.64;265.96
"Poço das Trincheiras (AL)";Municipality;270720;52.37;59.52;68.12;104.66;66.63;35.80;0.240;0.313;0.526;0.343;0.347;0.484;0.456;0.575;0.719;0.088;0.154;0.419;5.34;5.73;9.29;67.71;69.20;162.21
"Porto Calvo (AL)";Municipality;270730;60.65;65.63;68.36;60.63;41.38;35.00;0.322;0.423;0.586;0.472;0.458;0.558;0.594;0.677;0.723;0.119;0.244;0.498;7.18;5.87;8.50;150.90;138.44;257.64
"Porto de Pedras (AL)";Municipality;270740;55.52;63.06;71.14;86.21;51.11;25.90;0.255;0.344;0.541;0.388;0.405;0.542;0.509;0.634;0.769;0.084;0.159;0.379;6.28;4.98;8.02;89.28;99.56;233.72
"Porto Real do Colégio (AL)";Municipality;270750;53.76;62.07;70.46;96.21;55.23;28.00;0.274;0.378;0.551;0.403;0.435;0.513;0.479;0.618;0.758;0.106;0.201;0.431;5.97;5.07;8.49;98.20;120.15;195.26
"Quebrangulo (AL)";Municipality;270760;58.20;63.56;71.52;72.14;49.14;24.80;0.300;0.384;0.559;0.430;0.472;0.536;0.553;0.643;0.775;0.113;0.187;0.421;4.41;5.00;8.99;116.10;151.14;224.78
"Rio Largo (AL)";Municipality;270770;60.65;67.76;72.25;60.63;34.16;22.80;0.389;0.505;0.643;0.496;0.542;0.616;0.594;0.713;0.788;0.200;0.333;0.547;7.35;7.06;9.45;175.33;232.77;369.11
"Roteiro (AL)";Municipality;270780;53.04;57.46;65.30;100.56;76.84;46.80;0.219;0.339;0.505;0.423;0.448;0.524;0.467;0.541;0.672;0.053;0.161;0.365;4.40;5.09;8.35;110.91;130.36;208.84
"Santa Luzia do Norte (AL)";Municipality;270790;55.93;64.18;71.17;83.93;46.73;25.80;0.375;0.434;0.597;0.483;0.495;0.580;0.516;0.653;0.770;0.212;0.253;0.477;7.10;7.22;10.08;161.37;174.56;295.95
"Santana do Ipanema (AL)";Municipality;270800;58.28;63.30;71.17;71.73;50.16;25.80;0.349;0.425;0.591;0.442;0.508;0.579;0.555;0.638;0.770;0.173;0.237;0.463;6.50;6.22;8.75;125.53;188.57;293.85
"Santana do Mundaú (AL)";Municipality;270810;56.88;63.79;70.13;78.92;48.25;29.00;0.266;0.356;0.519;0.417;0.463;0.513;0.531;0.647;0.752;0.085;0.151;0.362;6.89;4.92;7.83;107.16;142.69;194.87
"São Brás (AL)";Municipality;270820;59.30;67.05;68.93;66.82;36.46;33.00;0.304;0.436;0.572;0.383;0.454;0.533;0.572;0.701;0.732;0.128;0.261;0.480;6.91;7.46;10.12;86.85;134.80;220.92
"São José da Laje (AL)";Municipality;270830;56.64;63.47;70.28;80.16;49.48;28.60;0.304;0.402;0.573;0.445;0.491;0.574;0.527;0.641;0.755;0.120;0.206;0.434;7.12;5.75;8.80;127.56;170.31;284.02
"São José da Tapera (AL)";Municipality;270840;50.97;59.35;67.20;113.60;67.40;39.20;0.204;0.319;0.527;0.332;0.384;0.508;0.433;0.573;0.703;0.059;0.148;0.409;5.87;6.01;8.63;63.20;87.03;188.84
"São Luís do Quitunde (AL)";Municipality;270850;62.31;66.03;67.05;53.51;39.95;39.80;0.267;0.396;0.536;0.438;0.462;0.550;0.622;0.684;0.701;0.070;0.196;0.400;6.20;4.80;7.97;122.22;141.55;244.85
"São Miguel dos Campos (AL)";Municipality;270860;59.55;68.08;71.21;65.65;33.14;25.70;0.365;0.506;0.623;0.501;0.563;0.612;0.576;0.718;0.770;0.169;0.320;0.514;7.18;7.46;9.02;181;266.49;360.82
"São Miguel dos Milagres (AL)";Municipality;270870;63.30;67.81;70.14;49.51;33.98;29.00;0.337;0.444;0.591;0.411;0.481;0.545;0.638;0.714;0.752;0.146;0.255;0.504;6.23;6.83;9.39;103.23;160.08;237.78
"São Sebastião (AL)";Municipality;270880;54.25;62.80;67.81;93.38;52.20;36.90;0.246;0.351;0.549;0.400;0.459;0.537;0.488;0.630;0.714;0.076;0.149;0.432;5.16;5.75;8.96;96.55;139.48;225.84
"Satuba (AL)";Municipality;270890;62.20;68.93;72.62;53.97;30.50;21.70;0.416;0.543;0.660;0.515;0.555;0.619;0.620;0.732;0.794;0.225;0.394;0.585;7.41;7.89;9.14;196.95;253.41;377.42
"Senador Rui Palmeira (AL)";Municipality;270895;53.04;60.49;68.67;100.56;62.14;33.90;0.211;0.299;0.518;0.352;0.368;0.481;0.467;0.592;0.728;0.057;0.123;0.398;4.44;5.35;9.02;71.45;79.05;159.61
"Tanque D'Arca (AL)";Municipality;270900;57.19;65.08;69.85;77.28;43.37;30.00;0.260;0.395;0.555;0.397;0.449;0.531;0.537;0.668;0.748;0.082;0.206;0.430;5.73;6.36;9.29;94.61;130.62;217.85
"Taquarana (AL)";Municipality;270910;58.12;65.15;67.61;72.54;43.11;37.70;0.279;0.375;0.541;0.404;0.442;0.529;0.552;0.669;0.710;0.097;0.178;0.421;6.45;6.64;9.74;99.05;125.15;215.16
"Teotônio Vilela (AL)";Municipality;270915;54.77;59.14;67.01;90.38;68.41;40.00;0.253;0.398;0.564;0.443;0.488;0.549;0.496;0.569;0.700;0.074;0.227;0.466;4.70;7.18;10.24;126.33;166.55;244.39
"Traipu (AL)";Municipality;270920;55.52;63.06;70.92;86.21;51.11;26.60;0.248;0.320;0.532;0.315;0.376;0.499;0.509;0.634;0.765;0.095;0.138;0.395;5.54;4.28;7.87;56.87;83.20;178.79
"União dos Palmares (AL)";Municipality;270930;58.48;64.28;70.83;70.76;46.37;26.90;0.312;0.406;0.593;0.463;0.504;0.590;0.558;0.655;0.764;0.118;0.203;0.462;6.32;5.60;8.83;142.26;183.75;313.92
"Viçosa (AL)";Municipality;270940;55.34;63.47;70.46;87.16;49.48;28.00;0.306;0.415;0.586;0.452;0.505;0.554;0.506;0.641;0.758;0.125;0.221;0.478;7.32;6.15;9.69;133.49;185.40;251.25
"Alvarães (AM)";Municipality;130002;63.41;65.37;71.69;49.58;45.79;20.80;0.306;0.373;0.527;0.487;0.504;0.499;0.640;0.673;0.778;0.092;0.153;0.377;4.59;4.96;5.96;165.64;184.29;178.67
"Amaturá (AM)";Municipality;130006;60.91;66.61;71.36;59.59;41.14;21.70;0.254;0.413;0.560;0.425;0.436;0.499;0.599;0.694;0.773;0.064;0.233;0.455;5.22;6.01;7.18;112.32;120.37;178.69
"Anamã (AM)";Municipality;130008;60.40;63.05;69.48;61.77;55.28;27.00;0.307;0.408;0.594;0.504;0.514;0.537;0.590;0.634;0.741;0.097;0.209;0.526;5.72;5.42;8.65;184.60;196.17;226.82
"Anori (AM)";Municipality;130010;60.71;65.50;70.42;60.44;45.30;24.30;0.357;0.428;0.561;0.489;0.502;0.540;0.595;0.675;0.757;0.157;0.231;0.433;7.20;4.97;7.27;168.24;181.92;229.94
"Apuí (AM)";Municipality;130014;62.31;65.85;71.29;53.88;43.95;21.90;0.322;0.437;0.637;0.542;0.556;0.621;0.622;0.681;0.772;0.099;0.221;0.540;6.02;6.35;8.74;233.59;254.78;380.62
"Atalaia do Norte (AM)";Municipality;130020;63.41;64.91;68.95;49.58;47.60;28.60;0.246;0.348;0.450;0.399;0.469;0.481;0.640;0.665;0.733;0.058;0.135;0.259;2.63;3.83;4.63;95.57;147.86;159.21
"Autazes (AM)";Municipality;130030;63.41;66.96;72.91;49.58;39.86;17.80;0.357;0.420;0.577;0.507;0.494;0.539;0.640;0.699;0.799;0.140;0.214;0.446;5.20;5.84;8.11;187.62;173.53;228.43
"Barcelos (AM)";Municipality;130040;61.87;66.57;68.69;55.64;41.29;29.50;0.317;0.384;0.500;0.518;0.531;0.545;0.615;0.693;0.728;0.100;0.154;0.315;5.12;3.91;4.34;200.70;217.27;237.29
"Barreirinha (AM)";Municipality;130050;62.17;66.57;71.45;54.43;41.29;21.50;0.293;0.399;0.574;0.438;0.437;0.469;0.620;0.693;0.774;0.093;0.210;0.522;5.75;5.83;8.21;122.12;121.34;148.28
"Benjamin Constant (AM)";Municipality;130060;62.31;65.71;70.78;53.88;44.48;23.20;0.300;0.389;0.574;0.404;0.462;0.526;0.622;0.679;0.763;0.107;0.188;0.471;6.25;6.05;8.79;98.76;141.53;211.10
"Beruri (AM)";Municipality;130063;60.40;63.53;68.85;61.77;53.21;29.00;0.272;0.340;0.506;0.420;0.455;0.512;0.590;0.642;0.731;0.081;0.134;0.346;5.07;3.79;6.83;109.23;135.76;193.40
"Boa Vista do Ramos (AM)";Municipality;130068;60.95;63.86;69.99;60.24;51.85;25.50;0.287;0.372;0.565;0.445;0.416;0.496;0.599;0.648;0.750;0.089;0.191;0.484;7.04;6.60;7.83;127.87;106.61;175.55
"Boca do Acre (AM)";Municipality;130070;63.07;65.11;71.59;50.90;46.81;21.10;0.288;0.401;0.588;0.484;0.510;0.576;0.635;0.669;0.777;0.078;0.189;0.455;4.44;5.10;7.53;162.27;191.39;288.42
"Borba (AM)";Municipality;130080;59.56;64.21;71.53;65.43;50.40;21.30;0.305;0.389;0.560;0.491;0.510;0.532;0.576;0.654;0.776;0.100;0.176;0.425;4.61;4.87;7.92;169.55;191.74;219.83
"Caapiranga (AM)";Municipality;130083;62.31;64.91;71.49;53.88;47.60;21.40;0.258;0.403;0.569;0.482;0.472;0.544;0.622;0.665;0.775;0.057;0.209;0.436;2.28;5.20;7.77;160.79;150.83;235.49
"Canutama (AM)";Municipality;130090;59.56;63.86;70.10;65.43;51.85;25.20;0.212;0.380;0.530;0.449;0.442;0.522;0.576;0.648;0.752;0.037;0.191;0.379;3.56;4.03;6.86;130.91;125.27;206.44
"Carauari (AM)";Municipality;130100;60;63.05;69.68;63.50;55.28;26.40;0.268;0.344;0.549;0.465;0.481;0.534;0.583;0.634;0.745;0.071;0.134;0.416;3.20;5.08;7.22;144.53;160.01;222.32
"Careiro (AM)";Municipality;130110;63.41;66.96;71.76;49.58;39.86;20.70;0.237;0.337;0.557;0.422;0.466;0.515;0.640;0.699;0.779;0.049;0.118;0.431;2.90;5.17;7.91;110.51;145.34;197.06
"Careiro da Várzea (AM)";Municipality;130115;62.31;66.61;71.76;53.88;41.14;20.70;0.248;0.387;0.568;0.492;0.486;0.523;0.622;0.694;0.779;0.050;0.172;0.450;4.74;6.05;7.62;170.78;164.23;207.18
"Coari (AM)";Municipality;130120;62.31;67.16;71.79;53.88;39.16;19.58;0.312;0.389;0.586;0.467;0.481;0.606;0.622;0.703;0.780;0.105;0.174;0.425;5.18;5.76;7.65;146.23;159.29;347.20
"Codajás (AM)";Municipality;130130;58.79;64.68;71.49;68.95;48.50;21.40;0.355;0.440;0.563;0.539;0.543;0.546;0.563;0.661;0.775;0.147;0.237;0.421;6.10;5.02;7.94;229.61;234.31;239.64
"Eirunepé (AM)";Municipality;130140;60.91;63.86;70.37;59.59;51.85;24.40;0.295;0.409;0.563;0.413;0.458;0.548;0.599;0.648;0.756;0.104;0.230;0.431;6.94;5.67;7.73;104.70;138.20;241.86
"Envira (AM)";Municipality;130150;60.95;63.53;68.63;59.44;53.21;29.60;0.263;0.346;0.509;0.416;0.409;0.521;0.599;0.642;0.727;0.073;0.158;0.349;1.64;5.13;6.33;106.65;102.25;204.98
"Fonte Boa (AM)";Municipality;130160;59.56;62.06;68.13;65.43;59.65;31.30;0.243;0.320;0.530;0.453;0.483;0.518;0.576;0.618;0.719;0.055;0.110;0.400;4.11;3.63;7.37;133.72;161.97;200.40
"Guajará (AM)";Municipality;130165;59.56;64.91;70.70;65.43;47.60;23.50;0.266;0.381;0.532;0.420;0.463;0.510;0.576;0.665;0.762;0.078;0.179;0.387;5.24;5.10;6.97;109.08;142.25;191.04
"Humaitá (AM)";Municipality;130170;65.15;66.96;72.47;43.21;39.86;18.90;0.296;0.475;0.605;0.485;0.565;0.621;0.669;0.699;0.791;0.080;0.272;0.451;4.57;6.56;7.53;163.40;269.39;382.13
"Ipixuna (AM)";Municipality;130180;57.34;64.91;71.32;75.82;47.60;21.80;0.257;0.318;0.481;0.371;0.374;0.476;0.539;0.665;0.772;0.085;0.129;0.302;6.46;4.87;5.51;80.34;81.81;154.54
"Iranduba (AM)";Municipality;130185;63.41;70.24;72.94;49.58;28.97;17.80;0.323;0.437;0.613;0.521;0.537;0.607;0.640;0.754;0.799;0.101;0.206;0.476;4.89;5.90;8.12;204.44;226.53;349.23
"Itacoatiara (AM)";Municipality;130190;65.04;69.44;73.66;43.60;31.46;15.31;0.408;0.491;0.644;0.532;0.544;0.618;0.667;0.741;0.811;0.192;0.293;0.534;6.40;6.68;8.76;218.63;235.91;373.71
"Itamarati (AM)";Municipality;130195;61.64;64.68;71.32;56.58;48.50;21.80;0.210;0.331;0.477;0.487;0.507;0.529;0.611;0.661;0.772;0.031;0.108;0.266;3.34;3.15;5.84;165.89;187.55;214.95
"Itapiranga (AM)";Municipality;130200;63.73;67.81;72.54;48.40;36.85;18.70;0.409;0.478;0.654;0.495;0.465;0.594;0.646;0.714;0.792;0.214;0.329;0.594;7.97;6.66;8.16;174.46;144.72;321.94
"Japurá (AM)";Municipality;130210;63.41;65.71;69.85;49.58;44.48;25.90;0.208;0.304;0.522;0.482;0.515;0.552;0.640;0.679;0.748;0.029;0.080;0.345;4.94;3.35;6.09;160.66;197.57;248.60
"Juruá (AM)";Municipality;130220;57.34;61.25;67.24;75.82;63.34;34.30;0.291;0.362;0.522;0.422;0.480;0.538;0.539;0.604;0.704;0.108;0.164;0.376;2.57;3.75;6.02;110.28;158.18;227.39
"Jutaí (AM)";Municipality;130230;59.56;64.21;70.93;65.43;50.40;22.80;0.187;0.304;0.516;0.438;0.434;0.528;0.576;0.654;0.766;0.026;0.099;0.340;2.62;3.13;6.37;122.27;119.48;214.36
"Lábrea (AM)";Municipality;130240;60.91;66.26;69.62;59.59;42.43;26.60;0.254;0.386;0.531;0.473;0.456;0.538;0.599;0.688;0.744;0.058;0.183;0.374;5.19;5.86;7.01;151.90;136.22;227.62
"Manacapuru (AM)";Municipality;130250;61.72;66.61;72.69;56.25;41.14;17.23;0.339;0.437;0.614;0.507;0.517;0.604;0.612;0.694;0.795;0.126;0.232;0.481;6.36;6.43;8.63;187.64;199.66;342.58
"Manaquiri (AM)";Municipality;130255;62.17;65.22;69.88;54.43;46.38;25.80;0.244;0.429;0.596;0.510;0.543;0.556;0.620;0.670;0.748;0.046;0.217;0.510;3.84;5.64;8.15;191.32;234.85;254.15
"Manaus (AM)";Municipality;130260;65.87;68.60;74.54;43.21;34.20;14.24;0.521;0.601;0.737;0.676;0.674;0.738;0.681;0.727;0.826;0.307;0.443;0.658;7.64;8.30;9.51;537.29;531.53;790.27
"Manicoré (AM)";Municipality;130270;62.29;66.57;69.83;53.94;41.29;26.00;0.287;0.398;0.582;0.489;0.460;0.580;0.622;0.693;0.747;0.078;0.198;0.456;5.65;4.92;8.20;167.99;140.08;295.23
"Maraã (AM)";Municipality;130280;60.95;63.86;70.78;59.44;51.85;23.20;0.265;0.291;0.498;0.444;0.419;0.466;0.599;0.648;0.763;0.070;0.091;0.348;4.04;2.95;6.02;127.09;108.66;144.99
"Maués (AM)";Municipality;130290;64.58;67.81;72.97;45.27;36.85;17.70;0.333;0.454;0.588;0.475;0.510;0.549;0.660;0.714;0.800;0.118;0.257;0.464;7.05;6.56;9.26;153.52;191.31;244.30
"Nhamundá (AM)";Municipality;130300;60.95;65.85;71.73;59.44;43.95;20.70;0.356;0.441;0.586;0.456;0.456;0.513;0.599;0.681;0.779;0.165;0.277;0.503;6.41;7.20;8.85;136.69;136.82;195.12
"Nova Olinda do Norte (AM)";Municipality;130310;60.91;65.85;71.81;59.59;43.95;20.50;0.321;0.373;0.558;0.501;0.520;0.541;0.599;0.681;0.780;0.110;0.147;0.412;5.88;5.05;6.99;181.11;203.68;232.07
"Novo Airão (AM)";Municipality;130320;61.87;64.95;71.55;55.64;47.45;21.20;0.264;0.428;0.570;0.467;0.509;0.551;0.615;0.666;0.776;0.064;0.231;0.434;6.07;6.29;7.37;146.24;190.48;246.44
"Novo Aripuanã (AM)";Municipality;130330;62.29;66.26;70.52;53.94;42.43;24.00;0.293;0.387;0.554;0.513;0.522;0.532;0.622;0.688;0.759;0.079;0.161;0.421;2.79;4.65;7.58;194.68;206.15;219.69
"Parintins (AM)";Municipality;130340;63.19;67.30;72.97;50.43;38.66;17.70;0.414;0.488;0.658;0.520;0.504;0.589;0.637;0.705;0.800;0.214;0.327;0.605;7.69;7.59;9.45;203.36;184.11;313.07
"Pauini (AM)";Municipality;130350;59.56;62.06;68.45;65.43;59.65;30.20;0.177;0.287;0.496;0.503;0.516;0.531;0.576;0.618;0.724;0.019;0.074;0.317;1.98;3.34;4.72;182.72;198.75;218.21
"Presidente Figueiredo (AM)";Municipality;130353;63.73;68.26;73.10;48.39;35.34;17.40;0.461;0.537;0.647;0.620;0.624;0.627;0.646;0.721;0.802;0.245;0.344;0.538;6.46;7.41;8.46;379.79;387.62;396.51
"Rio Preto da Eva (AM)";Municipality;130356;63.73;67.30;72.12;48.39;38.66;19.80;0.353;0.434;0.611;0.536;0.528;0.590;0.646;0.705;0.785;0.127;0.220;0.493;4.99;6.23;8.49;225.09;213.85;315.24
"Santa Isabel do Rio Negro (AM)";Municipality;130360;57.34;62.23;69.20;75.82;58.86;27.90;0.236;0.384;0.479;0.404;0.416;0.461;0.539;0.621;0.737;0.060;0.220;0.323;6.93;5.27;4.80;98.89;106.81;141.04
"Santo Antônio do Içá (AM)";Municipality;130370;59.56;64.91;70.52;65.43;47.60;24.00;0.206;0.306;0.490;0.346;0.390;0.438;0.576;0.665;0.759;0.044;0.110;0.353;4.75;3.83;6.49;68.96;90.43;122.21
"São Gabriel da Cachoeira (AM)";Municipality;130380;63.07;68.60;71.59;50.90;34.20;19.32;0.388;0.478;0.609;0.545;0.528;0.610;0.635;0.727;0.777;0.169;0.285;0.476;7.04;5.87;7.50;237.56;213.37;355.51
"São Paulo de Olivença (AM)";Municipality;130390;59.56;64.95;71.77;65.43;47.45;20.60;0.269;0.324;0.521;0.357;0.410;0.471;0.576;0.666;0.780;0.095;0.125;0.386;6;4.08;6.73;73.64;102.57;150.28
"São Sebastião do Uatumã (AM)";Municipality;130395;61.85;64.68;69.34;55.70;48.50;27.40;0.354;0.428;0.577;0.385;0.469;0.561;0.614;0.661;0.739;0.187;0.253;0.464;5.46;6.81;8.01;87.92;147.69;262.79
"Silves (AM)";Municipality;130400;64.58;66.26;72.47;45.27;42.43;18.90;0.373;0.486;0.632;0.529;0.537;0.546;0.660;0.688;0.791;0.149;0.310;0.584;7.37;6.97;9.54;215.44;226.09;238.53
"Tabatinga (AM)";Municipality;130406;65.15;68.05;71.12;43.21;36.03;22.30;0.333;0.470;0.616;0.506;0.571;0.602;0.669;0.718;0.769;0.109;0.254;0.505;5.41;6.00;8.26;186.06;279.82;338.40
"Tapauá (AM)";Municipality;130410;57.34;61.25;66.61;75.82;63.34;36.60;0.151;0.293;0.502;0.378;0.399;0.512;0.539;0.604;0.694;0.017;0.104;0.355;5.07;3.14;6.35;83.86;95.65;193.97
"Tefé (AM)";Municipality;130420;64.58;67.05;73.04;47.14;39.53;17.50;0.349;0.438;0.639;0.510;0.544;0.637;0.660;0.701;0.801;0.126;0.221;0.511;6.27;6.18;8.49;190.81;236.73;421.41
"Tonantins (AM)";Municipality;130423;60.91;64.95;71.74;59.59;47.45;20.70;0.257;0.327;0.548;0.412;0.425;0.508;0.599;0.666;0.779;0.069;0.124;0.416;5.22;4.21;7.30;103.68;112.67;189.15
"Uarini (AM)";Municipality;130426;62.17;64.84;68.43;54.43;47.88;30.30;0.290;0.358;0.527;0.411;0.470;0.535;0.620;0.664;0.724;0.096;0.147;0.378;4.58;2.65;6.94;103.53;148.94;223.11
"Urucará (AM)";Municipality;130430;60.95;67.16;70.26;59.44;39.16;24.70;0.386;0.487;0.620;0.521;0.577;0.551;0.599;0.703;0.754;0.185;0.285;0.575;6.45;6.08;8.87;204.23;289.82;246.99
"Urucurituba (AM)";Municipality;130440;60.91;66.61;71.53;59.59;41.14;21.30;0.254;0.427;0.588;0.374;0.444;0.538;0.599;0.694;0.776;0.073;0.252;0.487;5.21;6.19;8.28;82.23;126.60;227.55
"Amapá (AP)";Municipality;160010;66.88;68.68;72.40;35.85;28.35;18.30;0.391;0.498;0.642;0.535;0.567;0.631;0.698;0.728;0.790;0.160;0.299;0.532;7.71;7.41;8.68;223.63;273.32;406.90
"Calçoene (AP)";Municipality;160020;59.22;63.02;70.51;66.18;47.39;23.10;0.342;0.488;0.643;0.562;0.547;0.636;0.570;0.634;0.759;0.125;0.335;0.550;6.28;7.68;8.90;264.85;240.00;417.71
"Cutias (AP)";Municipality;160021;63;66.74;70.58;49.86;34.26;23.00;0.161;0.444;0.628;0.442;0.471;0.576;0.633;0.696;0.760;0.015;0.267;0.566;1.20;7.78;9.90;125.22;150.14;287.41
"Ferreira Gomes (AP)";Municipality;160023;67.07;70.21;74.20;35.23;24.12;14.30;0.320;0.537;0.656;0.492;0.533;0.635;0.701;0.754;0.820;0.095;0.385;0.542;6.07;8.39;9.05;171.07;220.69;416.72
"Itaubal (AP)";Municipality;160025;60.01;63.02;70.46;62.53;47.39;23.30;0.268;0.415;0.576;0.505;0.496;0.528;0.584;0.634;0.758;0.065;0.227;0.477;7.59;7.59;8.33;184.83;175.36;213.26
"Laranjal do Jari (AP)";Municipality;160027;63.93;68.68;73.06;46.28;28.35;16.80;0.349;0.481;0.665;0.599;0.593;0.641;0.649;0.728;0.801;0.109;0.258;0.573;6.13;7.24;9.15;331.72;321.34;432.92
"Macapá (AP)";Municipality;160030;66.39;70.21;74.19;39.76;24.12;14.04;0.525;0.622;0.733;0.653;0.667;0.723;0.690;0.754;0.820;0.322;0.478;0.663;8.70;9.24;9.60;464.14;506.43;717.88
"Mazagão (AP)";Municipality;160040;63.93;67.89;70.46;46.28;30.83;23.30;0.319;0.434;0.592;0.484;0.495;0.609;0.649;0.715;0.758;0.103;0.231;0.449;6.83;5.84;8.30;162.67;173.83;353.61
"Oiapoque (AP)";Municipality;160050;64.74;67.89;71.71;43.26;30.83;20.00;0.388;0.537;0.658;0.599;0.673;0.693;0.662;0.715;0.779;0.147;0.321;0.527;5.32;6.26;8.55;333.21;526.35;598.38
"Pedra Branca do Amapari (AP)";Municipality;160015;60.08;65.19;71.73;62.24;39.42;20.00;0.235;0.442;0.626;0.420;0.501;0.628;0.585;0.670;0.779;0.053;0.257;0.502;2.51;7.04;7.50;109.46;181.08;397.98
"Porto Grande (AP)";Municipality;160053;63.93;67.89;71.62;46.28;30.83;20.20;0.407;0.520;0.640;0.567;0.601;0.610;0.649;0.715;0.777;0.183;0.328;0.554;8.73;8.28;9.29;273.29;336.12;356.65
"Pracuúba (AP)";Municipality;160055;59.22;66.74;72.40;66.18;34.26;18.30;0.203;0.440;0.614;0.378;0.501;0.539;0.570;0.696;0.790;0.039;0.244;0.544;5.89;7.48;9.71;84.07;180.57;228.81
"Santana (AP)";Municipality;160060;64.74;68.68;72.65;43.26;28.35;17.70;0.426;0.562;0.692;0.575;0.597;0.654;0.662;0.728;0.794;0.203;0.408;0.638;7.51;9.09;9.91;287.03;328.83;469.24
"Serra do Navio (AP)";Municipality;160005;65.23;68.68;71.97;41.48;28.35;19.40;0.416;0.569;0.709;0.578;0.571;0.659;0.671;0.728;0.783;0.186;0.444;0.692;8.01;8.97;10.57;292.45;278.60;484.63
"Tartarugalzinho (AP)";Municipality;160070;63;66.74;72.63;49.86;34.26;17.80;0.311;0.450;0.592;0.519;0.497;0.553;0.633;0.696;0.794;0.092;0.263;0.473;4.36;6.95;8.51;202.56;175.88;250.20
"Vitória do Jari (AP)";Municipality;160080;59.22;65.19;71.88;66.18;39.42;19.60;0.336;0.459;0.619;0.495;0.534;0.587;0.570;0.670;0.781;0.134;0.271;0.517;6.22;5.52;8.62;174.35;222.00;309.39
"Abaíra (BA)";Municipality;290010;63.17;67.91;69.76;53.91;32.89;28.10;0.352;0.495;0.603;0.456;0.520;0.577;0.636;0.715;0.746;0.150;0.326;0.510;6.73;8.69;9.60;136.50;204.01;290.53
"Abaré (BA)";Municipality;290020;57.17;63.50;71.55;83.43;47.63;22.90;0.332;0.422;0.575;0.464;0.488;0.533;0.536;0.642;0.776;0.147;0.240;0.460;5.03;6.23;7.33;143.36;166.97;220.16
"Acajutiba (BA)";Municipality;290030;54.23;60.82;68.39;100.82;58.09;32.60;0.285;0.422;0.582;0.441;0.477;0.560;0.487;0.597;0.723;0.108;0.264;0.487;6.18;7.44;8.28;124.44;155.56;260.46
"Adustina (BA)";Municipality;290035;53.05;60.05;68.07;108.36;61.33;33.70;0.206;0.347;0.546;0.424;0.492;0.526;0.468;0.584;0.718;0.044;0.146;0.432;1.64;6.01;8.56;112.28;171.39;211.37
"Água Fria (BA)";Municipality;290040;56.31;62.63;69.79;88.31;50.89;28.00;0.230;0.382;0.550;0.357;0.427;0.529;0.522;0.627;0.747;0.065;0.208;0.422;4.19;6.34;7.56;73.95;113.81;215.12
"Aiquara (BA)";Municipality;290060;58.66;62.65;69.00;75.41;50.83;30.60;0.293;0.436;0.583;0.453;0.505;0.573;0.561;0.628;0.733;0.099;0.261;0.471;3.93;7.58;8.55;134.02;185.75;283.24
"Alagoinhas (BA)";Municipality;290070;61.61;65.34;72.39;60.86;41.13;21.84;0.452;0.550;0.683;0.568;0.613;0.681;0.610;0.672;0.790;0.266;0.404;0.592;6.99;8.34;8.71;274.52;363.32;553.17
"Alcobaça (BA)";Municipality;290080;58.78;62.86;71.28;74.73;50.02;23.60;0.272;0.453;0.608;0.459;0.543;0.611;0.563;0.631;0.771;0.078;0.271;0.476;3.55;7.67;8.10;139.33;234.96;357.99
"Almadina (BA)";Municipality;290090;62.24;64.41;70.07;58.01;44.35;27.20;0.261;0.405;0.563;0.373;0.487;0.563;0.621;0.657;0.751;0.077;0.207;0.421;3.65;6.67;8.85;81.41;165.85;265.39
