Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
"Olho D'Água Grande (AL)";Municipality;270590;55.74;64.21;65.40;85.01;46.61;46.40;0.238;0.368;0.503;0.357;0.404;0.473;0.512;0.654;0.673;0.074;0.188;0.399;4.23;4.98;9.34;73.67;98.98;151.62
"Olivença (AL)";Municipality;270600;53.04;59.12;65.63;100.56;68.54;45.40;0.217;0.301;0.493;0.354;0.375;0.513;0.467;0.569;0.677;0.062;0.128;0.345;5.92;5.23;9.08;72.42;82.30;195.19
"Ouro Branco (AL)";Municipality;270610;55.52;62.55;66.99;86.21;53.21;40.00;0.291;0.396;0.547;0.370;0.444;0.538;0.509;0.626;0.700;0.131;0.223;0.434;5.42;6.58;8.27;80.04;126.89;227.56
"Palestina (AL)";Municipality;270620;54.25;61.61;69.08;93.38;57.19;32.50;0.317;0.402;0.558;0.377;0.421;0.505;0.488;0.610;0.735;0.173;0.253;0.467;6.18;6.75;9.77;83.36;109.76;185.39
"Palmeira dos Índios (AL)";Municipality;270630;60.05;68.00;72.61;63.35;33.39;21.80;0.385;0.482;0.638;0.503;0.543;0.625;0.584;0.717;0.794;0.195;0.287;0.523;7.08;7.16;9.72;182.95;234.81;391.37
"Pão de Açúcar (AL)";Municipality;270640;58.28;64.82;72.58;71.73;44.34;21.80;0.345;0.434;0.593;0.467;0.495;0.536;0.555;0.664;0.793;0.159;0.249;0.491;5.61;6.72;10.37;145.98;174.43;224.33
"Pariconha (AL)";Municipality;270642;56.12;62.07;70.23;82.91;55.23;28.70;0.227;0.350;0.548;0.354;0.409;0.526;0.519;0.618;0.754;0.064;0.170;0.416;6.01;5.53;9.48;72.56;101.98;211.13
"Paripueira (AL)";Municipality;270644;59.61;63.52;71.00;65.40;49.30;26.40;0.312;0.423;0.605;0.389;0.490;0.595;0.577;0.642;0.767;0.135;0.240;0.486;8.32;6.60;8.82;90.29;168.82;324.93
"Passo de Camaragibe (AL)";Municipality;270650;56.05;62.07;67.19;83.32;55.20;39.30;0.249;0.382;0.533;0.407;0.452;0.513;0.518;0.618;0.703;0.073;0.200;0.421;7.08;5.46;8.55;100.70;133.65;194.73
"Paulo Jacinto (AL)";Municipality;270660;57.19;65.30;68.94;77.28;42.57;33.00;0.282;0.420;0.589;0.365;0.444;0.551;0.537;0.672;0.732;0.114;0.249;0.507;6.38;6.22;9.90;77.56;126.80;247.20
