Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
BA;2911659;Guajeru;;;;;0.9;0.928;;1.347
BA;2911709;Guanambi;1.4;;1.7;;3.1;3.076;;4.432
BA;2911808;Guaratinga;0.3;;0.3;;1.1;1.13;;1.877
BA;2911857;Heliópolis;;;;;1;1.027;;2.007
BA;2911907;Iaçu;0.7;;0.9;;1.6;1.578;;2.777
BA;2912004;Ibiassucê;0.6;;0.9;;1.8;1.818;;2.755
BA;2912103;Ibicaraí;1.2;;1.7;;2.6;2.567;;3.492
BA;2912202;Ibicoara;0.6;;0.8;;1.5;1.513;;2.372
BA;2912301;Ibicuí;0.5;;1.2;;1.9;1.901;;2.753
BA;2912400;Ibipeba;0.4;;1.1;;1.9;1.934;;3.665
BA;2912509;Ibipitanga;0.1;;0.8;;1.2;1.21;;2
BA;2912608;Ibiquera;0.6;;0.7;;1.6;1.592;;2.369
BA;2912707;Ibirapitanga;0.5;;0.8;;1.4;1.405;;2.02
BA;2912806;Ibirapuã;0.5;;1;;2.1;2.027;;2.941
BA;2912905;Ibirataia;0.7;;1.5;;2.1;2.131;;3.071
BA;2913002;Ibitiara;0.7;;1.2;;1.5;1.516;;2.471
BA;2913101;Ibititá;0.4;;1;;2.2;2.193;;3.325
BA;2913200;Ibotirama;0.9;;1.2;;2.4;2.441;;3.735
BA;2913309;Ichu;0.9;;1.7;;3.1;2.979;;4.128
BA;2913408;Igaporã;0.9;;1.4;;2.2;2.199;;3.163
BA;2913457;Igrapiúna;;;;;1.4;1.355;;1.932
